included	classification_title	N	title	abstract
NaN		871	"Hollingsworth, H. L. and M. Vandermaas-Peeler (2017). """"‘Almost everything we do includes inquiry’: Fostering inquiry-based teaching and learning with preschool teachers."""" Early Child Development and Care 187(1): 152-167."""""	" Given the increased emphasis on science in early learning standards, two studies were conducted to investigate preschool teachers’ efficacy for teaching science and their inquiry-based teaching practices. Fifty-one teachers completed a survey of their efficacy for teaching science and understanding of inquiry methods. Teachers reported moderate confidence in their abilities, but only 25% of respondents indicated knowledge of most steps of the inquiry process. In a follow-up study, a small group of teachers participated in training sessions followed by in-depth interviews. Most teachers reported implementing the beginning steps of inquiry, such as observing and questioning, within an activity, but rarely reported next steps, such as making predictions and evaluating evidence. Participants identified lack of materials, scheduling, and time constraints as challenges to inquiry-based teaching. Findings highlight the need for professional development, emphasising the integrated, sequential, cyclic nature of the inquiry process to support preschoolers’ complex thinking and reasoning. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
NaN		872	"Holman, S. D., et al. (2014). """"US Dental Students' Attitudes Toward Research and Science: Impact of Research Experience."""" Journal of Dental Education 78(3): 334-348."""""	" This study aimed to provide a first nationwide assessment of dental students' attitudes toward the importance of research and its integration into the dental curriculum. For this purpose, the American Association for Dental Research National Student Research Group developed an online survey that was distributed to 89 percent of U.S. dental students in May 2012. The survey consisted of twenty-one Likert-type items divided into three groups: importance of research in dentistry, barriers to research involvement, and exposure to research in the dental curriculum. There were 733 responses (3.9 percent response rate), including students in all stages of education representing fifty-eight out of sixty-one dental schools. Age and race/ethnic distributions corresponded with U.S. dental school enrollees. Results showed that 63 percent of respondents had conducted research before matriculation, and of the 34 percent that participated in research during dental school, only 27 percent were newcomers. Respondents strongly agreed that scientific research enabled their progress in dentistry. Inadequate time in the curriculum was an obstacle they perceived to research involvement during dental school. Respondents agreed that dental curricula emphasize evidence-based practices but may be inadequately teaching biostatistics and research methodologies. Students with research experience tended to have stronger positive opinions about the importance of research in dental education. Efforts to foster research in schools have been well received by students, but several issues remain for enriching dental education through greater involvement of students in research."""
NaN		873	"Holmgren, L. E. (2011). """"Cofielding in Qualitative Interviews: Gender, Knowledge, and Interaction in a Study of (Pro)Feminist Men."""" Qualitative Inquiry 17(4): 364-378."""""	" The article is located within research on cross-gender interviewing and concerns methodological and analytical challenges in a study of (pro) feminist men and seeks to contribute to the literature on interview interaction and the knowledge to be gained from such research experiences. The article discusses the negotiation of interviewer/interviewee interaction, practices of gender and theoretical knowledge along with how this might influence the coconstruction of interview performances. Interviewees reflexively turned narratives into theoretical analysis which turned out to be important aspects of presentation of self and in the doings of gender and feminism. The concept of ""cofielding"""" is introduced to address these interview performances but is suggested to have a wider applicability to studies of researcher/researched relationships characterized by discursive closeness and overlapping positions. Cofielding practices point to how the doings of interviewer/interviewee and power relationships can be performed and negotiated-even played with in the speech act of interview interaction."""""
NaN		874	"Hong, J. E. and F. Stonier (2015). """"GIS In-Service Teacher Training Based on TPACK."""" Journal of Geography 114(3): 108-117."""""	" This article introduces the geographic information systems (GIS) in-service teacher training, focusing on the intersection of technological, pedagogical, and content knowledge (TPACK) for successful implementation of GIS in the classroom. Eleven social studies teachers in Georgia learned GIS technologies, inquiry-based learning, and social studies so that they could create technology-enhanced and inquiry-based lessons using GIS technologies. This article reports participating teachers' opinions and attitudes of the TPACK-based GIS training. It also reports useful pedagogical methods of introducing GIS technologies to students and additional support for teachers to help them use GIS in their classrooms more often."""
NaN		875	"Hopper, L., et al. (2011). """"How primary care dentists perceive and are influenced by research."""" Community Dentistry and Oral Epidemiology 39(2): 97-104."""""	" Introduction: Little is understood as to how primary care dentists alter their clinical practice. Aim: To develop an understanding of how primary care dentists view and use research to inform their clinical practice. Methods: An iterative approach was followed using two methods of data collection. A focus group was undertaken with dentists and researchers who had been involved in primary care dental research. Subsequently phased, qualitative interviews were undertaken with primary care dentists with a range of research experiences. Focus group and interviews were audio-recorded and transcribed verbatim. Six people participated in the focus group. Eighteen dentists participated in the interviews. Interviews were undertaken in four phases until saturation was achieved. Data were analysed using constant comparison. Findings: Evidence-based dentistry was considered the ideal. However, the research base for primary care dentistry was thought to lag behind clinical services, to focus on incorrect endpoints, to disregard the patients' voice and failed to consider the impact of conducting research on dental practices. Dentists modified their clinical practice based upon research, colleagues' opinions, courses and ad hoc personal evaluation. Uptake of research was affected by the ethos of the practice, which determined whether the dentists were early or late adopters of research and financial viability of new interventions. Conclusion: Dentists wanted concise, timely evidence-based guidance to aid their management of patients. Further research needs to be undertaken to understand how to develop an evidence-based culture in primary dental care."""
NaN		876	"Horner, P. S., et al. (2016). """"Social Work Faculty and Undergraduate Research Mentorships."""" Journal of Teaching in Social Work 36(2): 216-230."""""	" Social work faculty scholars lead the field as generators of knowledge that integrates investigative studies with practical social welfare outcomes. As such, the faculty potentially offers undergraduate researchers a different way of envisioning research that extends beyond traditional undergraduate research models. To date, however, no research exists that examines a research mentorship from the perspective of the social work faculty. Here we draw upon a study with 18 faculty at a major midwestern university and evaluate their experiences as mentors in an undergraduate research program. Both quantitative and qualitative survey data were gathered. The most prominent themes in the data were (a) personal and professional enhancement, (b) time management challenges, (c) added value to faculty research, (d) increased sense of connection to the social work community, and (e) need for more preparation and structure. We conclude by suggesting a new rubric for social work researchers that can guide mentorship during the research process."""
NaN		877	"Horrey, W. J., et al. (2011). """"Research needs and opportunities for reducing the adverse safety consequences of fatigue."""" Accident Analysis and Prevention 43(2): 591-594."""""	" Although there has been a significant amount of research on fatigue globally, it remains a major contributor to workplace and highway mortality and morbidity. Given its importance, a Hopkinton Conference was organized to review and discuss the state of knowledge in the area and to define future directions for research aimed at preventing or mitigating the consequences of fatigue. In all, five groups of international contributors produced six articles for this special issue, comprising state of the art reviews, along with a discussion of knowledge gaps and future research needs. In this concluding paper, we capture some of the major outcomes and recommendations from this process. These are organized into five topic areas: the link between fatigue and safety, demographic issues in fatigue, modeling and predicting fatigue, technological approaches to fatigue management, and organizational factors in fatigue management. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
NaN		878	"Hosein, A. and N. Rao (2017). """"Students’ reflective essays as insights into student centred-pedagogies within the undergraduate research methods curriculum."""" Teaching in Higher Education 22(1): 109-125."""""	" In higher education, despite the emphasis on student-centred pedagogical approaches, undergraduate research methods pedagogy remains surprisingly teacher-directed. Consequently, it may lead to research methods students assuming that becoming a researcher involves gathering information rather than it being a continuous developmental process. To combat this idea, a reflective student-centred pedagogical approach is evaluated for encouraging students’ development as researchers. In this study, undergraduate research methods students piloted a research method and produced a reflective essay of their research experience. Qualitative analysis of the students’ reflective essay demonstrated that students showed an awareness of both their research skills such as choosing an appropriate research instrument and their researcher identity such as the metacognition of their research competence. Pedagogical approaches that encourage ‘reflection on action’ in the research curriculum can, therefore, help students to articulate their researcher identity and build their research skills confidence and should be actively promoted. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
NaN		879	"Hoskisson, P. A., et al. (2015). """"Inspiring STEM undergraduates to tackle the AMR crisis."""" Fems Microbiology Letters 362(18)."""""	" To address the growing problem of antimicrobial resistance (AMR), it is necessary to invest in, inspire and attract future generations of scientists to this research area. Undergraduate education should be a focus for attention and efforts should be made to ensure that students are afforded opportunities to actively engage with AMR. We illustrate how as a topic AMR provides opportunities to deliver effective research-led teaching in addition to traditional teaching methods. We have used a selection of case studies to illustrate how students can be engaged with AMR using a variety of research-led approaches to develop the required skills for biology-centric students. In addition, we indicate how these skills map to the UK Quality Assurance Framework and the Vision and Change report developed by the American Association for the Advancement of Science."""
NaN		880	"Hoskisson, R. E., et al. (2011). """"Revitalizing Entrepreneurship: The Search for New Research Opportunities."""" Journal of Management Studies 48(6): 1141-1168."""""	" Entrepreneurship research has traditionally focused on opportunity recognition and resource formation as processes that foster the emergence of new business ventures, through both the lens of the individual entrepreneur and corporate venturing. Although we observe that research is vibrant in these traditional areas, we also argue that the continued revitalization of the field of entrepreneurship can be fostered through examining opportunities for research in areas such as industry change and competition, inter-organizational cooperation (which has proliferated more recently), university-sponsored entrepreneurship, venture finance, institutional differences that foster entrepreneurship (primarily between different countries), and appropriability regime differences (including legal and regulatory frameworks) that foster entrepreneurial activities and profit appropriation. Besides pointing scholars to new promising directions, we argue for more attention to the transformational role of entrepreneurship itself by issuing a call for more multi-level research efforts that connect the micro-and macro-foundations of entrepreneurship and explore the revitalization-related uncertainties such as the cost of creating an entrepreneurial orientation and whether there is an optimal level."""
NaN		881	"Houser, C., et al. (2014). """"Assessment of Student and Faculty Mentor Perceptions of an International Undergraduate Research Program in Physical Geography."""" Journal of Geography in Higher Education 38(4): 582-594."""""	" In this study, we assess whether students and their faculty mentors in a Research Experience for Undergraduates program have similar perceptions about the relative importance of different outcomes of their study abroad experience. Results of a Q-analysis reveal a significant difference of opinion between the students and the faculty mentors. It is argued that the faculty mentors need to spend more time in the field with their students and recognize that undergraduate research provides students with skills and a confidence to conduct research in the future, rather than personal and professional development, and the ability to think like a scientist."""
NaN		882	"Houser, C., et al. (2015). """"Effectiveness of Geosciences Exploration Summer Program (GeoX) for Increasing Awareness and Knowledge of Geosciences."""" Journal of Geoscience Education 63(2): 116-126."""""	" Summer research experiences are an increasingly popular means of increasing awareness of, and developing interest in, the geosciences and other science, technology, engineering, and math programs. We describe and report the preliminary results of a 1-wk Geosciences Exploration Summer Program in the College of Geosciences at Texas A&M University to introduce high-school students to opportunities and careers in the geosciences. Short-term indicators in the form of preprogram and postprogram surveys of participants and their parents suggest that there is an increase in participant understanding of geosciences and interest in pursuing a degree in the geosciences. The participants and their parents had relatively limited knowledge of the geosciences at the start of the program, and very few had a friend or acquaintance employed in the geosciences, despite the importance of geosciences to the state economy. Postprogram survey results suggest that the students had an improved and nuanced understanding of the geosciences and the career opportunities within the field. A survey of the parents several months after the program had ended suggests that the parents had greater awareness of the geosciences through conversations with the participants or their own research. Although the influence of the parents on a students' decision to study geoscience is unclear and merits further investigation, it is concluded that future offerings of this and similar programs should engage the parents to ensure that the geosciences are recognized as a potential academic and career path."""
NaN		883	"Howard, A., et al. (2015). """"Process observations from an Australian cooperative inquiry project aimed at improving undergraduate student's experience."""" Qualitative Social Work: Research and Practice 14(6): 776-793."""""	" This paper reports on a collaborative student-for-student research project conducted in 2012, which aimed to improve the first year experience for students at one Australian University. A cooperative inquiry group was established to focus on the issues experienced by first year students from low socio-economic backgrounds, raise critical consciousness, question existing ideological constructs and develop a response to the identified issues in the form of a V-pod. Thematic analysis of recorded data from meetings and written data from group wiki pages revealed three key themes related to: sharing experience, sharing power and sharing time. Findings suggest a clear place for cooperative inquiry in the higher educational sector, but this must be supported by the time and space to establish collaborative relationships. When academics and students recast their roles as ‘the researcher’ and ‘the researched’ in the pursuit of co-created knowledge they are more able to rally against structural barriers and produce more meaningful outcomes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
NaN		884	"Howitt, C., et al. (2011). """"""""It's a Mystery!"""": A Case Study of Implementing Forensic Science in Preschool as Scientific Inquiry."""" Australasian Journal of Early Childhood 36(3): 45-55."""""	" Children have immense curiosity, a thirst for knowledge and a questioning attitude. They are innate scientists. The challenge for early childhood educators is to fuel this curiosity through the provision of appropriate learning experiences and an engaging environment within early learning centres. This paper presents a detailed case study of how a pre-service teacher implemented forensic science as a form of scientific inquiry, in a preschool classroom for four-year-old children. Using the theme of ""We're going on a (forensic) bear hunt!,"""" a series of integrated and engaging experiences was delivered that allowed the children to solve the class mystery of who left behind the (bear) footprints. This paper describes the concept, process and skills of scientific inquiry, outlines the basic principle of forensic science, provides a detailed description of the children's learning experiences, and interprets these experiences in relation to developing children's scientific inquiry skills: exploring and predicting, observing and recording, using equipment, using observation as evidence, and representing and communicating. It also illustrates how young children can readily engage in inquiry-based learning""  educators, however, must provide the opportunities and support to stimulate this learning. In summary, the paper argues that a complex topic such as forensic science can be successfully implemented with young children, highlighting the competence of these children. (Contains 5 tables and 4 figures.)"""
NaN		885	"Howitt, S., et al. (2010). """"""""Please Remember We Are Not All Brilliant"""": Undergraduates' Experiences of an Elite, Research-Intensive Degree at a Research-Intensive University."""" Higher Education Research and Development 29(4): 405-420."""""	" Undergraduate research experiences are being incorporated into degree programs with increasing frequency. However, there has been little study into their effectiveness in preparing students for research or into the learning gains that students realise from one or more research experiences. We surveyed science students in an elite, research-based undergraduate degree program at a research-intensive university. These students complete six research projects during their degree and we aimed to delineate factors that students perceive as leading to either good or bad experiences. Two factors stand out as contributing to a successful research experience: the supervisor, with students reporting both pedagogic and affective benefits of good supervision  and the feeling that they are doing authentic science. Surprisingly, given the research-intensive nature of this degree, the learning gains students report relate to both an appreciation of what research is like and life skills, such as time management, rather than scientific thinking skills. (Contains 6 tables and 2 figures.)"""
NaN		886	"Hsu, L. (2014). """"An Epistemological Analysis of the Application of an Online Inquiry-Based Program in Tourism Education."""" Australasian Journal of Educational Technology 30(1): 61-79."""""	" This paper was designed to investigate the application of an online inquiry-based program to European tourism from an epistemological perspective. Fifty tourism students (n = 50) participated in this study and their epistemological beliefs were measured with the Epistemological Belief Scale. A set of pre-, post-, and delayed tests were utilised to assess each participant's learning outcomes. The results showed that online inquiry-based learning (IBL) did change the participants' epistemological beliefs significantly, with a large effect size (Cohen's d) of 0.83. However, correlation analyses indicated that the relationship between an individual's epistemological beliefs before and after the online IBL experience, and the differences of pre- and post-tests, is rather low (? = 0.287). Yet, the association between their changed epistemological beliefs and the delayed test was higher (? = 0.556). These results suggest the possible effectiveness of online IBL in helping tourism students' develop more sophisticated epistemological beliefs, which may not be able to help learners comprehend the subject matter immediately but may facilitate better long-term retention."""
NaN		887	"Hsu, Y. S., et al. (2015). """"A Design Model of Distributed Scaffolding for Inquiry-Based Learning."""" Research in Science Education 45(2): 241-273."""""	" This study presents a series of three experiments that focus on how distributed scaffolding influences learners' conceptual understanding and reasoning from combined levels of triangulation, at the interactive level (discourses within a focus group) and the collective level (class). Three inquiry lessons on plate tectonics (LPT) were designed, implemented and redesigned to explore how students responded to the scaffoldings provided. The results show that the goal-oriented version (LPT3) was significantly more effective at helping students develop an understanding of plate tectonics and evidence-based reasoning than the teacher-led (LPT1) and deconstructed (LPT2) versions (chi (2) = 11.56, p < 0.003). In LPT3, we can identify three key features of the scaffolding: an advanced organizer, deconstruction of complex tasks, and reflection on the whole inquiry cycle at the end of class time. In addition, LPT3 took much less teaching time. In other words, it appears to be effective and efficient, most likely due to synergies between teacher facilitation and lesson scaffolds. The empirical results clarify the functions of the design model proposed for distributed scaffolding: navigating inquiry, structuring tasks, supporting communication, and fostering reflection. Future studies should more closely evaluate the scaffolding system as a whole and synergies between different types of scaffolds for advancing learning."""
NaN		888	"Hu, H. H. and T. D. Shepherd (2013). """"Using POGIL to Help Students Learn to Program."""" ACM Transactions on Computing Education 13(3)."""""	" POGIL has been successfully implemented in a scientific computing course to teach science students how to program in Python. Following POGIL guidelines, the authors have developed guided inquiry activities that lead student teams to discover and understand programming concepts. With each iteration of the scientific computing course, the authors have refined the activities and learned how to better adapt POGIL for the computer science classroom. This article details how POGIL activities differ from both traditional computer science labs and other active-learning pedagogies. Background is provided on POGIL's effectiveness. The article then includes a full description of how POGIL activities were used in the scientific computing course, as well as an example POGIL activity on recursion. Discussion is provided on how to facilitate and develop POGIL activities. Quotes from student evaluations and an assessment on how well students learned to program are provided."""
NaN		889	"Hu, J., et al. (2012). """"Synthesis of an Ionic Liquid and Its Application as Template for the Preparation of Mesoporous Material MCM-41: A Comprehensive Experiment for Undergraduate Students."""" Journal of Chemical Education 89(2): 284-285."""""	" A new solvent-free microwave experiment to synthesize the ionic liquid 1-hexadecyl-3-methylimidazolium bromide (HDMIm-Br) in high yield is presented. The structure is confirmed by IR and H-1 NMR spectra. FIDMIm-Br is then used to prepare an organic-inorganic mesoporous material MCM-41. The microscopic arrangements of mesoporous materials MCM-41 are studied using X-ray diffraction (XRD) and transmission electron microscopy (TEM). This experiment is a modification of previously reported methods for synthesizing the ionic liquid. More importantly, the comprehensive experiment helps the students design and deal with reactions reasonably and highlights the difference between basic experiments and academic research, which is useful to develop a student's reasoning and experimental skills."""
NaN		890	"Hu, Q. R., et al. (2015). """"A Smart Home Test Bed for Undergraduate Education to Bridge the Curriculum Gap From Traditional Power Systems to Modernized Smart Grids."""" IEEE Transactions on Education 58(1): 32-38."""""	" There is a worldwide trend to modernize old power grid infrastructures to form future smart grids, which will achieve efficient, flexible energy consumption by using the latest technologies in communication, computing, and control. Smart grid initiatives are moving power systems curricula toward smart grids. Although the components of smart grids fall within the broader discipline of electrical and computer engineering, undergraduate students are rarely assigned single design projects that require classic power systems knowledge combined with communication, computing, and control. Therefore, as a significant step toward potential curriculum changes, this paper presents such a project, a smart home test bed based on the pedagogical model of project-based learning (PBL) for undergraduate education. The proposed test bed allows undergraduates to gain key knowledge in smart grid topics, such as flattening demand peaks, real-time price response, wireless sensor networks, machine learning, pattern recognition, embedded system programming, user interface design, circuit design, and databases. This is well aligned with smart grid initiatives and provides a platform for students to develop their creativity in engineering design. It also offers real-life examples to be used for raising general public awareness of energy conservation."""
NaN		891	"Huang, H., et al. (2016). """"Enquiry-based learning designed for transient response of dynamic circuits in electric circuits course."""" International Journal of Electrical Engineering Education 53(2): 137-144."""""	" According to enquiry-based learning theory and experiences in teaching Electric Circuits course, this paper presents a problem-based teaching model designed for transient response of dynamic circuits. Guided by some questions designed by teachers, students go through three processes: enquiry-based teaching and learning, problem-based simulation, and enquiry-based seminar. The knowledge of dynamic circuits is taught, and the circumstance of scientific enquiry is also set up to help students' research. It is proved that the model can help students to understand knowledge much better, and it can also develop their ability of self-exploration."""
NaN		892	"Huang, Y. P., et al. (2011). """"An adaptive knowledge evolution strategy for finding near-optimal solutions of specific problems."""" Expert Systems with Applications 38(4): 3806-3818."""""	" Most real-world problems cannot be mathematically defined and/or structured modularly for peer researchers in the same community to facilitate their work. This is partially because there are no concrete defined methods that can help researchers clearly describe their problems and partially because one method fits one problem but does not apply to others. In order to apply someone's research results to new domains and for researchers to collaborate with each other more efficiently, a well-defined architecture with self-adaptive evolution strategies is proposed. It can automatically find the best solutions from existing knowledge and previous research experiences. The proposed architecture is based on object-oriented programming skills that in turn become foundations of the community interaction evolution strategy and knowledge sharing mechanism. They make up an autonomous evolution mechanism using a progressive learning strategy and a common knowledge packaging definition. The architecture defines fourteen highly modular classes that allow users to enhance collaboration with others in the same or similar research community. The presented evolution strategies also integrate the merits of users' predefined algorithms, group interaction and learning theory to approach the best solutions of specific problems. Finally, resource limitation problems are tackled to verify both the re-usability and flexibility of the proposed work. Our results show that even without using any specific tuning of the problems, optimal or near-optimal solutions are feasible. (C) 2010 Elsevier Ltd. All rights reserved."""
NaN		893	"Hudson, K. D. and E. J. Richardson (2016). """"Centering power, positionality, and emotional labor in a Master of Social Work research course: Perspectives from a student and instructor."""" Qualitative Social Work: Research and Practice 15(3): 414-427."""""	" This paper presents a case study of a student and instructor’s experience in a foundational research course in a Master of Social Work (MSW) program at a major university. As part of this course, students are asked to design and implement an original, practice-informed research project. One student had a particularly complex, affective response to her research project. In response to the student’s experience in the course, the instructor reconceptualized the major course assignment, drawing from the feminist concept of emotional labor, so that it would be responsive and relevant to the student’s learning. This instance of educational individualization allowed the student to take inventory of and critically reflect on her enhanced awareness of self, positionality, and power structures personally, professionally, and as a researcher, through an autoethnographic narrative and critical analysis. A central finding of this case study is that attention to the emotional labor of research opens up space for ways of knowing and learning beyond positivist, inflexible, and narrowly imagined competency-based paradigms. Moreover, this case study demonstrates the possibilities of qualitative research in accessing and exploring the affective research experience. Finally, this paper argues that emotional labor is a critical aspect of learning, teaching, and practicing research that ought to be fully considered and addressed across all approaches to inquiry, particularly those concerned with social justice. Recommendations for conceptualizing and teaching social work research courses are offered, including those related to course structure, curricular sequencing and the integration of content on epistemology and emotional labor. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
NaN		894	"Huffling, L., et al. (2014). """"Using Mobile Devices in Field Science."""" Science Teacher 81(6): 35-40."""""	" Students today need advanced tools and competencies to succeed in the global economy. Technology can provide students with critical learning experiences but is often affordable only to affluent students. All students, regardless of socioeconomic status, deserve to use technology to create and innovate, communicate and collaborate, and gain the 21st-century skills they need to be successful inside and outside the classroom. Integrating technology into instruction also helps science teachers incorporate the ""Next Generation Science Standards"""" (NGSS Lead States 2013) into the curriculum. Students can use technology to develop and use models""  plan and carry out investigations  analyze and interpret data "" and obtain, evaluate, and communicate information. Mobile devices, in particular, can supply many of the scientific tools needed for investigations in the life and Earth sciences through a wide array of available applications, or """"apps,"""" for such things as weather, geographic positioning, and identification. This article describes the authors' attempts to use technology to provide more authentic and engaging data-collection methods for students. The context is a herpetology research experience (HRE) sponsored by the National Science Foundation that provides diverse high school students with many """"first-time"""" experiences--in this case, not only with reptiles and amphibians, or herps, but also with technology use as a scientific practice."""""
NaN		895	"Hughes, A., et al. (2013). """"Academic, professional, and community outcomes of a faculty-mentored BASW research experience."""" The Journal of Baccalaureate Social Work 17(17): 133-147."""""	" This article examines the perceptions of bachelor of arts in social work (BASW) students engaged in faculty- mentored research projects. Students worked with faculty mentors on various research projects over the course of an academic year. The study assessed the effect of this experience on multiple factors such as skill improvement, interest in research, and perceptions of research. The research team developed a survey to collect both quantitative and qualitative data from participants. BASW students reported that the research mentorship was beneficial, with the majority reporting improved research skills, increased understanding of research, and a stronger connection to the social work research community. The research team identifies changes that could improve the experience and makes suggestions for future programming and research. (PsycINFO Database Record (c) 2016 APA, all rights reserved)"""
NaN		896	"Hull, L., et al. (2012). """"Building global capacity for patient safety: A training program for surgical safety research in developing and transitional countries."""" International Journal of Surgery 10(9): 493-499."""""	" Background: Recent studies show a significant rate of adverse events in hospitalized patients in developing/transitional countries e with approximately 18% of them related to surgical procedures. Understanding and preventing these errors requires adequate training in patient safety research methods e however, relevant training programs are currently lacking. We developed, delivered and evaluated a training program to address this gap. Methods: A one-day training program was developed based on the recently published WHO core competencies for patient safety research. The focus was on surgical patient safety research e including human factors, operating room (OR) teamwork, the OR environment, and safety culture. Feasibility, relevance and preliminary evaluation of the program ('proof of concept' testing) was conducted in Bogota, Colombia in July 2011. A validated evaluation framework was utilized, assessing participants' objective knowledge, attitudes, and observational skills. Results: 30 postgraduate students from a range of clinical/non-clinical disciplines signed up and 17 attended the program. Participants' knowledge of surgical patient safety significantly improved upon program completion (Mean pre-course = 55% vs. Mean post-course = 68%, P < 0.01), as did their confidence and understanding of problems and methodologies to assess OR patient safety, and teamwork issues (P < 0.05). Observational skills in recognizing safety-related behaviors using OTAS (i.e., quality of teamwork) improved on qualitative evaluation. Conclusions: We have developed a viable, WHO-driven training program that can be delivered to clinical and non-clinical researchers to develop their competencies and thereby build capacity in developing/transitional countries to carry out surgical safety research. All program materials are available in English and Spanish for research, training and dissemination. (C) 2012 Surgical Associates Ltd. Published by Elsevier Ltd. All rights reserved."""
NaN		897	"Huma, A. (2016). """"Cultural Scripts Resist Reforms in Teacher Education."""" Journal of Education and Practice 7(18): 26-31."""""	" As a part of a huge intervention in teacher education programs in Pakistan the author had a firsthand experience of how the ""habits of mind"""" hinder in changing the practices and cultures of teachers and institutions respectively. It has been a part of traditional teaching in Pakistan that only one text book is followed by teachers and students as the only source of knowledge. This not only provides limited knowledge but also inculcates the habit of rote memorization and reproduction of text in exams. No critical thinking and critical pedagogy is adopted. It was tried in the Pre-STEP initiative by USAID and HEC to change this culture at the teacher education institutions. New course guides were developed to initiate research based teaching and learning. The researcher talked to the teacher educators at six institutions twice with a gap of six months to see how they adopted the new culture and what stopped them to change their practices. This paper highlights and identifies what aspects of sociology of teaching stop teacher educators in Pakistan from adopting innovative modes of teaching."""""
NaN		898	"Hume, A. and R. Coll (2010). """"Authentic student inquiry: the mismatch between the intended curriculum and the student-experienced curriculum."""" Research in Science & Technological Education 28(1): 43-62."""""	" As a means of achieving scientific literacy goals in society, the last two decades have witnessed international science curriculum redevelopment that increasingly advocates a 'new look' inquiry-based approach to learning. This paper reports on the nature of the student-experienced curriculum where secondary school students are learning under a national curriculum that is intent on promoting students' knowledge and capabilities in authentic scientific inquiry, that is, inquiry that properly reflects that practiced by members of scientific communities. Using a multiple case study approach, this study found that layers of curriculum interpretation from several 'sites of influence' both outside and inside of the schools have a strong bearing on the curriculum enacted by teachers and actually experienced by the students, and runs counter to the aims of the national curriculum policy. Over-emphasis on fair testing limits students' exposure to the full range of methods that scientists use in practice, and standards-based assessment using planning templates, exemplar assessment schedules and restricted opportunities for full investigations in different contexts tends to reduce student learning about experimental design to an exercise in 'following the rules'. These classroom realities have implications for students' understanding of the nature of authentic scientific inquiry and support claims that school science is still far removed from real science."""
NaN		899	"Humes, W. (2007). """"The Infrastructure of Educational Research in Scotland."""" European Educational Research Journal 6(1): 71-86."""""	" This article offers a descriptive and analytical account of the current state of educational research in Scotland, viewed against the background of constitutional change within the United Kingdom and debates about the nature, function and quality of research activity and output. It starts by considering how to undertake the task in hand and argues that it is necessary to draw on a combination of institutional, developmental and interactive approaches. Thereafter the relatively disappointing Scottish results in the 2001 UK Research Assessment Exercise are reported to set the scene for subsequent efforts to improve research capacity. The role of the Scottish Executive in determining research priorities, commissioning projects and using the findings of research in helping to inform policy is outlined, taking account of important structural changes following devolution. A key development has been the Applied Educational Research Scheme (AERS), a collaborative university-led initiative, funded jointly by the Scottish Executive and the Scottish Funding Council (previously the Scottish Higher Education Funding Council). This consists both of substantive research networks and a capacity-building programme of research training for beginning and developing researchers. Established research centres, with different histories and emphases, are described in order to raise issues about the balance between applied research, linked to policy priorities, and fundamental research which seeks to develop new theories and models. The role of the Scottish Educational Research Association, which has links with the British and European Educational Research Associations, is considered. Various attempts by different bodies to promote teacher engagement in research are also described. In the final section an attempt is made to assess what progress has been made. It is concluded that while the overall climate for the conduct of educational research has improved, providing real opportunities to demonstrate the value of research, there remain a number of challenging problems. These include: issues of research quality  inadequate opportunity to undertake fundamental (as distinct from applied) research  tensions between the demands of teacher education programmes and universities' research aspirations "" the risk of """"collaboration"""" becoming """"consensus""""""  and the absence of a developed international perspective. (Contains 1 table.)"""
NaN		900	"Hummers-Pradier, E., et al. (2012). """"General practice-based clinical trials in Germany - a problem analysis."""" Trials 13."""""	" Background: In Germany, clinical trials and comparative effectiveness studies in primary care are still very rare, while their usefulness has been recognised in many other countries. A network of researchers from German academic general practice has explored the reasons for this discrepancy. Methods: Based on a comprehensive literature review and expert group discussions, problem analyses as well as structural and procedural prerequisites for a better implementation of clinical trials in German primary care are presented. Results: In Germany, basic biomedical science and technology is more reputed than clinical or health services research. Clinical trials are funded by industry or a single national programme, which is highly competitive, specialist-dominated, exclusive of pilot studies, and usually favours innovation rather than comparative effectiveness studies. Academic general practice is still not fully implemented, and existing departments are small. Most general practitioners (GPs) work in a market-based, competitive setting of small private practices, with a high case load. They have no protected time or funding for research, and mostly no research training or experience. Good Clinical Practice (GCP) training is compulsory for participation in clinical trials. The group defined three work packages to be addressed regarding clinical trials in German general practice: (1) problem analysis, and definition of (2) structural prerequisites and (3) procedural prerequisites. Structural prerequisites comprise specific support facilities for general practice-based research networks that could provide practices with a point of contact. Procedural prerequisites consist, for example, of a summary of specific relevant key measures, for example on a web platform. The platform should contain standard operating procedures (SOPs), templates, checklists and other supporting materials for researchers. Conclusion: All in all, our problem analyses revealed that a substantial number of barriers contribute to the low implementation of clinical research in German general practice. Some issues are deeply rooted in Germany's market-based healthcare and academic systems and traditions. However, new developments may facilitate change: recent developments in the German research landscape are encouraging."""
